source_id,system,source_type,title,url,version_or_date,locator,study,basis,evidence_status,verification_action,notes
SH-SRC-001,AI Scientist-v2,preprint,"The AI Scientist-v2: Workshop-Level Automated Scientific Discovery via Agentic Tree Search",https://arxiv.org/abs/2504.08066,"arXiv v1, 2025-04-10","paper and supplementary material","landscape;lifecycle",source,needs-review,"Audit exact node schema, stage defaults, checkpoint recovery, and replication policy","Primary description of the four-stage tree-search research workflow"
SH-SRC-002,AI Scientist-v2,code,"SakanaAI/AI-Scientist-v2",https://github.com/SakanaAI/AI-Scientist-v2,current,"README, configuration, logs, tree visualization","landscape;lifecycle",source,needs-review,"Pin inspected commit and verify max_debug_depth and abandonment behavior","Official implementation"
SH-SRC-003,Robin,journal article,"A multi-agent system for automating scientific discovery",https://www.nature.com/articles/s41586-026-10652-y,"Nature 655, 2026-05-19","methods, workflow, validation, data availability","landscape;lifecycle",source,needs-review,"Record exact workflow and validation locators from the final article","Peer-reviewed report of the dAMD case"
SH-SRC-004,Robin,project page,"Demonstrating end-to-end scientific discovery with Robin, a multi-agent system",https://www.futurehouse.org/research/demonstrating-end-to-end-scientific-discovery-with-robin-a-multi-agent-system,"posted 2025-05-20; updated 2026-05-19","workflow, human interaction, cost, open artifacts","landscape;lifecycle",source,needs-review,"Reconcile project-page claims with the final Nature article","Official project overview"
SH-SRC-005,Robin,code,"Future-House/robin",https://github.com/Future-House/robin,current,"orchestrator and sample trajectories","landscape;lifecycle",source,candidate,"Audit stable IDs, trajectory schema, ranking records, and handoff artifacts","Official Robin implementation"
SH-SRC-006,Finch,code,"Future-House/finch",https://github.com/Future-House/finch,current,"notebook agent, evaluation, and environment","landscape;lifecycle",source,candidate,"Audit Docker/Aviary boundary and consensus artifacts","Official analysis-agent implementation"
SH-SRC-007,PaperBench,preprint,"PaperBench: Evaluating AI's Ability to Replicate AI Research",https://arxiv.org/abs/2504.01848,"2025-04-02","task construction, fresh execution, rubrics, JudgeEval","landscape;lifecycle;risks",source,needs-review,"Capture exact sections for isolation, hidden rubrics, JudgeEval, and seed variance","Primary benchmark paper"
SH-SRC-008,PaperBench,official page,"PaperBench",https://openai.com/index/paperbench/,"2025-04-02","overview and released assets","landscape;lifecycle;risks",source,needs-review,"Reconcile release wording with the paper","Official release page"
SH-SRC-009,PaperBench,code,"openai/frontier-evals",https://github.com/openai/frontier-evals,current,"PaperBench task and evaluator assets","landscape;risks",source,candidate,"Pin the current PaperBench asset path and evaluator version","Official evaluation repository"
SH-SRC-010,ScienceAgentBench,conference paper,"ScienceAgentBench: Toward Rigorous Assessment of Language Agents for Data-Driven Scientific Discovery",https://arxiv.org/abs/2410.05080,"ICLR 2025; arXiv v3 2025-03-31","tasks, execution, metrics, expert validation","landscape;lifecycle;risks",source,needs-review,"Record exact task count, metric definitions, self-debug stop, and independence rate locators","Primary benchmark paper"
SH-SRC-011,ScienceAgentBench,code,"OSU-NLP-Group/ScienceAgentBench",https://github.com/OSU-NLP-Group/ScienceAgentBench,current,"tasks, evaluator, environment","landscape;lifecycle",source,candidate,"Pin inspected commit and verify environment construction","Official implementation"
SH-SRC-012,SciAgentArena,preprint,"Benchmarking AI Agents for Addressing Scientific Challenges Across Scales",https://arxiv.org/abs/2606.12736,"arXiv v1, 2026-06-10","runtime/evaluation split, stepwise verification, task families","landscape;lifecycle",source,needs-review,"Audit exact task count and cross-domain trace consistency","Primary benchmark paper; SciAgentArena is the benchmark name"
SH-SRC-013,SciAgentArena,code,"HelloWorldLTY/SciAgentArena",https://github.com/HelloWorldLTY/SciAgentArena,current,"runtime and evaluation framework","landscape;lifecycle",source,candidate,"Inspect intermediate-state schemas and per-domain budgets","Official implementation"
SH-SRC-014,SciAgentArena,dataset,"iLOVE2D/SciAgentArena",https://huggingface.co/datasets/iLOVE2D/SciAgentArena,current,"tasks and evaluation assets","landscape;lifecycle",source,candidate,"Count tasks and compare schemas across domains","Official dataset"
SH-SRC-015,ResearchClawBench,preprint,"ResearchClawBench: A Benchmark for End-to-End Autonomous Scientific Research",https://arxiv.org/abs/2606.07591,"arXiv v5, 2026-07-03","task package, RADS, failure analysis, limitations","landscape;lifecycle;risks",source,needs-review,"Audit environment isolation, termination fields, artifact lineage, and judge calibration","Primary benchmark paper"
SH-SRC-016,ResearchClawBench,code,"InternScience/ResearchClawBench",https://github.com/InternScience/ResearchClawBench,current,"ResearchHarness, evaluator, task assets","landscape;lifecycle;risks",source,candidate,"Pin inspected commit and inspect trace and evaluator inputs","Official implementation"
SH-SRC-017,ResearchClawBench,dataset,"InternScience/ResearchClawBench dataset",https://huggingface.co/datasets/InternScience/ResearchClawBench,current,"tasks, literature, data, evaluation artifacts","landscape;lifecycle",source,candidate,"Verify task count and hidden-target packaging","Official dataset"
SH-SRC-018,AutoResearchBench,preprint,"AutoResearchBench: Benchmarking AI Agents on Complex Scientific Literature Discovery",https://arxiv.org/abs/2604.25256,"arXiv v1, 2026-04-28","formal state, Deep/Wide tasks, gold construction, metrics","landscape;lifecycle",source,needs-review,"Audit whether agent outputs include supporting spans or only paper identifiers","Primary benchmark paper"
SH-SRC-019,AutoResearchBench,code,"CherYou/AutoResearchBench",https://github.com/CherYou/AutoResearchBench,current,"dataset, inference, evaluation","landscape;lifecycle",source,candidate,"Pin inspected commit and verify resume, budget, and trajectory schema","Official implementation"
SH-SRC-020,Provenance,standard,"PROV-DM: The PROV Data Model",https://www.w3.org/TR/prov-dm/,"W3C Recommendation, 2013-04-30","Entity, Activity, Agent and provenance relations","lifecycle;local-fit",source,needs-review,"Map only the minimal relations required by the local proposal","External provenance standard"
SH-SRC-021,Agent evaluation,preprint,"RewardHackingAgents",https://arxiv.org/abs/2603.11337,"2026 preprint","evaluator tampering, leakage, hash locking","risks",source,needs-review,"Verify exact episode counts, intervention results, and limitations","Evidence for evaluator integrity risks"
SH-SRC-022,LLM judge,preprint,"Self-Preference Bias in LLM-as-a-Judge",https://arxiv.org/abs/2410.21819,"2024 preprint","self-preference experiments","risks",source,needs-review,"Verify experimental scope and effect sizes before reuse","Evidence for self-evaluation bias"
SH-SRC-023,LLM judge,preprint,"Judging the Judges: A Systematic Study of Position Bias in LLM-as-a-Judge",https://arxiv.org/abs/2406.07791,"2024 preprint","position-bias experiments","risks",source,needs-review,"Verify model count, judgement count, and task dependence","Evidence for position bias"
SH-SRC-024,Autonomous science,preprint,"Why LLMs Aren't Scientists Yet",https://arxiv.org/abs/2601.03315,"2026 preprint","four end-to-end case studies and failure analysis","risks",source,needs-review,"Verify case outcomes and terminology from the paper","Evidence for implementation drift and false-success reporting"
SH-SRC-025,Human gates,preprint,"Human-in-the-Loop Economic Research",https://arxiv.org/abs/2606.12848,"2026 preprint","prespecified multi-agent runs and human gates","risks",source,needs-review,"Verify study design, counts, domain limits, and gate definitions","Candidate evidence for binding human gates"
SH-SRC-026,Human oversight,official publication,"Automation bias in professional decision-making",https://op.europa.eu/en/publication-detail/-/publication/68b91f8f-cf0a-11ef-be2a-01aa75ed71a1/language-en,"EU Publications Office","professional-participant experiment","risks",source,needs-review,"Verify sample, intervention, outcome, and applicability limits","Evidence that nominal human oversight may fail"
SH-SRC-027,Selective reporting,systematic review,"Comparison of registered and published primary outcomes in randomized controlled trials",https://pubmed.ncbi.nlm.nih.gov/26581191/,"2015","registered-versus-published outcome comparison","risks",source,needs-review,"Verify exact review scope and inconsistency statistic","Analogy for negative-result and outcome-selection risk"
SH-SRC-028,Citation evaluation,preprint,"Citation Faithfulness",https://arxiv.org/abs/2607.20527,"2026-07 preprint","verifier sensitivity and unsupported-citation measurement","risks",source,candidate,"Read the final paper and verify reported rate range and evaluator definitions","Very recent evidence; do not generalize before review"
